,token,cosine
0,tho,0.9991123676300049
1,would,0.9991016387939453
2,the,0.9990560412406921
3,observance,0.9989907145500183
4,I,0.9989675283432007
5,a,0.9989530444145203
6,one,0.9989378452301025
7,he,0.9988918304443359
8,day,0.9988777041435242
9,ho,0.9988592863082886
10,1,0.9988529682159424
11,may,0.998832643032074
12,take,0.9987975358963013
13,give,0.9987803101539612
14,and,0.998748779296875
15,man,0.9987461566925049
16,we,0.998738706111908
17,go,0.9987332224845886
18,see,0.9987021684646606
19,it,0.9986966252326965
20,master,0.9986836910247803
21,in,0.9986067414283752
22,they,0.9986055493354797
23,ot,0.9985825419425964
24,say,0.9985450506210327
25,house,0.9985448122024536
26,j,0.9985238313674927
27,ol,0.9985116720199585
28,upon,0.9984946846961975
29,slave,0.9984723329544067
30,mr,0.9984617829322815
31,know,0.998443603515625
32,people,0.9984333515167236
33,well,0.9984063506126404
34,law,0.9983933568000793
35,if,0.9983915090560913
36,c,0.9983914494514465
37,not,0.9983766078948975
38,make,0.998374342918396
39,time,0.9983691573143005
40,shall,0.9983583092689514
41,public,0.998355507850647
42,hand,0.9983335733413696
43,be,0.9983283281326294
44,think,0.9983229637145996
45,old,0.9983195662498474
46,two,0.9983059167861938
47,come,0.9982743263244629
48,family,0.9981796145439148
49,find,0.9981699585914612
50,observant,0.9981018900871277
51,room,0.9980894327163696
52,keep,0.9980820417404175
53,order,0.9980795383453369
54,faithful,0.9980757236480713
55,u,0.9980512261390686
56,und,0.9980412721633911
57,lie,0.9980281591415405
58,n,0.9979918599128723
59,send,0.99798983335495
60,without,0.9979727268218994
61,leave,0.9979516863822937
62,e,0.9979380369186401
63,she,0.997929036617279
64,much,0.9978997707366943
65,could,0.9978910088539124
66,s,0.9978818893432617
67,life,0.997877836227417
68,girl,0.9978755712509155
69,this,0.9978744387626648
70,his,0.9978629946708679
71,child,0.9978602528572083
72,live,0.9978591799736023
73,good,0.997800350189209
74,state,0.997798502445221
75,fugitive,0.997790515422821
76,very,0.9977872371673584
77,ask,0.997782826423645
78,door,0.9977390170097351
79,way,0.9977149963378906
80,bring,0.9977126121520996
81,thing,0.9976770281791687
82,lo,0.997672438621521
83,thy,0.9976577162742615
84,f,0.9975906610488892
85,hear,0.9975064992904663
86,you,0.9974910020828247
87,bo,0.9974594116210938
88,lady,0.9974265098571777
89,w,0.9974262118339539
90,respect,0.997372031211853
91,little,0.9973620772361755
92,will,0.9973374605178833
93,lor,0.9972765445709229
94,act,0.9972607493400574
95,work,0.9972590208053589
96,v,0.9972586035728455
97,right,0.9972560405731201
98,get,0.9972470998764038
99,name,0.9972056150436401
100,there,0.9971946477890015
101,let,0.9971866607666016
102,all,0.9971790909767151
103,look,0.9971742033958435
104,never,0.997158944606781
105,but,0.997156023979187
106,ihe,0.9971478581428528
107,when,0.9971411228179932
108,ill,0.9971365332603455
109,humble,0.9971314668655396
110,another,0.9971253275871277
111,general,0.9971091151237488
112,person,0.9971042275428772
113,long,0.9970961213111877
114,duty,0.9970862865447998
115,every,0.9970493912696838
116,ii,0.9970334768295288
117,god,0.9970329999923706
118,sho,0.9970324635505676
119,call,0.9970148801803589
120,open,0.9969839453697205
121,soon,0.9969741702079773
122,h,0.9969672560691833
123,do,0.9969596266746521
124,away,0.9969453811645508
125,also,0.9969310760498047
126,like,0.9969138503074646
127,hi,0.9969046711921692
128,honor,0.9968798756599426
129,three,0.9968677759170532
130,to,0.9968565702438354
131,must,0.996837317943573
132,escape,0.99683678150177
133,might,0.9968335628509521
134,m,0.9967529773712158
135,young,0.9967360496520996
136,gentleman,0.9967218637466431
137,many,0.9966962933540344
138,john,0.9966312050819397
139,tell,0.9965225458145142
140,as,0.9965173602104187
141,meet,0.9965100288391113
142,unto,0.9965037107467651
143,sir,0.9964858889579773
144,d,0.9964460134506226
145,hire,0.9963929653167725
146,father,0.9963144063949585
147,poor,0.996301531791687
148,t,0.9963012337684631
149,subject,0.9962783455848694
150,put,0.9962658286094666
151,place,0.9962652325630188
152,service,0.9962547421455383
153,always,0.9962472915649414
154,whose,0.9962303638458252
155,oblige,0.9962211847305298
156,agent,0.9961762428283691
157,obedient,0.9961240291595459
158,mrs,0.9961110353469849
159,de,0.9961022734642029
160,part,0.996084988117218
161,turn,0.9960627555847168
162,i,0.9960537552833557
163,ed,0.9960249066352844
164,friend,0.9959983229637146
165,hut,0.9959878921508789
166,bad,0.9959838390350342
167,year,0.9959825873374939
168,remain,0.9959825873374939
169,word,0.9959802627563477
170,sometimes,0.9959772229194641
171,wife,0.995968222618103
172,nnd,0.995925784111023
173,brother,0.9958844780921936
174,strict,0.9958818554878235
175,become,0.9958695769309998
176,that,0.9958207607269287
177,who,0.9957817792892456
178,en,0.9957709908485413
179,r,0.995759129524231
180,power,0.9957364201545715
181,th,0.9956836700439453
182,lord,0.9956350326538086
183,truth,0.9956334829330444
184,due,0.9955934882164001
185,new,0.9955805540084839
186,country,0.9955741167068481
187,son,0.9955583214759827
188,yet,0.9955414533615112
189,pay,0.9955259561538696
190,attend,0.9954975843429565
191,even,0.9954489469528198
192,what,0.9954466223716736
193,morning,0.9954131841659546
194,body,0.9953895807266235
195,present,0.9953794479370117
196,respectfully,0.9953768849372864
197,want,0.9953591823577881
