,token,cosine
0,f,0.7792702913284302
1,and,0.7757331728935242
2,v,0.7554283142089844
3,5ervantgcoiii,0.749278724193573
4,t,0.7467580437660217
5,hiod,0.7451237440109253
6,ta,0.7435292601585388
7,h,0.7424117922782898
8,flaatatlon,0.7411274313926697
9,ana,0.7400309443473816
10,jurudteuort,0.7387068271636963
11,nteeia,0.7373652458190918
12,wry,0.7370903491973877
13,nesrroe,0.7360865473747253
14,general,0.7359972596168518
15,wm,0.7359684705734253
16,end,0.7350642085075378
17,jtylci,0.7347029447555542
18,stj,0.7336130142211914
19,aiko,0.7331490516662598
20,r,0.732766330242157
21,southerner,0.7322784662246704
22,sxwibd,0.7310042381286621
23,60100,0.7307342886924744
24,nd,0.7303699254989624
25,lespeciiuiv,0.7303150296211243
26,b,0.7296538352966309
27,make,0.7287816405296326
28,ii,0.7277060151100159
29,pme,0.72591632604599
30,tttk,0.7256957292556763
31,twnfoja,0.7256104946136475
32,omen,0.7253326177597046
33,flint,0.7244752049446106
34,x,0.7244642972946167
35,pissenger,0.7240427136421204
36,servanti,0.7239560484886169
37,work,0.7238277196884155
38,umebex,0.7237133979797363
39,keep,0.7233946919441223
40,4tt,0.7232699990272522
41,p,0.7231812477111816
42,eiceilest,0.7224852442741394
43,tjurt,0.7223283648490906
44,bregan,0.7223075032234192
45,gjaba,0.7219553589820862
46,nnd,0.7219067215919495
47,u,0.7218104004859924
48,stjpeitloil,0.7215970754623413
49,blaoksmith,0.7214229702949524
50,crnness,0.721330463886261
51,tervant,0.7211049795150757
52,ef,0.7208701968193054
53,snd,0.7208458185195923
54,jleojbojsaud,0.7206910252571106
55,uunecessary,0.7205103039741516
56,goed,0.720209538936615
57,ciitisistiiig,0.7200297117233276
58,field,0.7200019955635071
59,0,0.7197636365890503
60,excelent,0.7195153832435608
61,servanta,0.7193055152893066
62,klp,0.7191233038902283
63,aasuarsat,0.7190864086151123
64,1lantation,0.7189845442771912
65,valuablbhjuse,0.718633234500885
66,congress,0.7185649871826172
67,descent,0.7179780006408691
68,te,0.717860758304596
69,most,0.7178095579147339
70,rujimsiiisgs,0.7176996469497681
71,brogaaa,0.7176680564880371
72,tiiu,0.7176579236984253
73,ti,0.7175302505493164
74,nod,0.7174404859542847
75,io,0.7171798944473267
76,itarfjandle,0.7171663641929626
77,bregaas,0.7170366644859314
78,tl,0.7166780233383179
79,1,0.7163228392601013
80,bsewa,0.716303288936615
81,fat,0.7161499261856079
82,rartmpat,0.7159466743469238
83,nerd,0.715852677822113
84,trui,0.7156368494033813
85,bervant,0.715474545955658
86,21,0.7154238820075989
87,lien,0.715380847454071
88,houo,0.7150369882583618
89,o,0.7147849202156067
90,rnrrl,0.7146232724189758
91,stanton,0.7144492268562317
92,arid,0.7143783569335938
93,instni,0.7141759991645813
94,ewadpmn,0.7141728401184082
95,vxtnsive,0.7141689658164978
96,bmall,0.7140666246414185
97,illanket,0.7140289545059204
98,leary,0.7139110565185547
99,pantauoa,0.7137044072151184
100,28,0.7136602401733398
101,veil,0.7135172486305237
102,qualities,0.7130935788154602
103,lour,0.7130463123321533
104,roy,0.7128267288208008
105,j,0.7126200199127197
106,osbabergs,0.7123938202857971
107,n,0.7123883962631226
108,ani,0.7123225331306458
109,wirhcr,0.7123211622238159
110,ainiag,0.7123184204101562
111,d3,0.7121888399124146
112,timise,0.7121509909629822
113,mrthanuuof,0.712127149105072
114,travis,0.712109386920929
115,w,0.7120227217674255
116,raumner,0.712013840675354
117,here,0.7119372487068176
118,11,0.711458146572113
119,ggol,0.7113252878189087
120,drev,0.7112681269645691
121,bot,0.7112340927124023
122,rervant,0.7111567258834839
123,s5dtw4,0.7110861539840698
124,april80,0.7110194563865662
125,alx,0.7108996510505676
126,uuntsville,0.7108564376831055
127,izrs,0.7105838656425476
128,duie,0.7102422714233398
129,aiom,0.710236132144928
130,gine,0.7100861072540283
131,skoe,0.7099931836128235
132,al,0.7099757194519043
133,lroner,0.7095625996589661
134,inteltgent,0.7095000743865967
135,m00ke,0.7094995379447937
136,kinjjfcr,0.7094095349311829
137,domesile,0.7094055414199829
138,invalid,0.7093673944473267
139,bovs,0.7093266248703003
140,evey,0.7092724442481995
141,twu,0.7092147469520569
142,74,0.7091987133026123
143,ly,0.7091953158378601
144,royal,0.7091535925865173
145,reng3,0.7091228365898132
146,dney,0.7089775204658508
147,waalitr,0.708950400352478
148,isia,0.7087380290031433
149,jangle,0.7086434960365295
150,ium,0.7086380124092102
151,riuar1,0.7085710167884827
152,brogaas,0.7085380554199219
153,bbtlsi,0.7085129022598267
154,iroi,0.7083397507667542
155,fop,0.7083299160003662
156,rat,0.7083123326301575
157,tbick,0.7082825899124146
158,hon,0.7082771062850952
159,nn,0.7079808712005615
160,geuilemenmise,0.7079642415046692
161,ao,0.7079440951347351
162,law,0.7078525424003601
163,hoose,0.7078425288200378
164,gentsand,0.7077082395553589
165,111,0.7075445055961609
166,botn,0.7075322866439819
167,thoseliav,0.707531213760376
168,di,0.7074633240699768
169,blacksmith,0.7073755264282227
170,revolution,0.7072288990020752
171,eharae,0.7072224617004395
172,horace,0.7071772217750549
173,quilted,0.7070947289466858
174,ith,0.7070795893669128
175,ptoct,0.7070342898368835
176,direlle,0.706985354423523
177,andthe,0.7069563865661621
178,jpiicatiuu3,0.7068369388580322
179,wright,0.7067594528198242
180,suilabte,0.7067544460296631
181,coitonsde,0.7067516446113586
182,rlrt,0.7066835165023804
183,wue,0.706582248210907
184,basa,0.7064793705940247
185,cosls,0.7064138054847717
186,pggei,0.7060497403144836
187,01,0.7059779763221741
188,opea,0.7058349847793579
189,indian,0.705775797367096
190,vary,0.7057616114616394
191,substi,0.7056389451026917
192,slilpe,0.7055727243423462
193,buttonholing,0.7055601477622986
194,monlln,0.7055371999740601
195,hold,0.7055143117904663
196,at,0.7055140733718872
197,aud,0.7053253650665283
198,slne,0.7053106427192688
199,perpetrate,0.7052849531173706
200,aervant,0.7052040696144104
201,hervant,0.705187976360321
202,tratt,0.7051829099655151
203,oe,0.7051069140434265
204,lima,0.7050896286964417
205,hare,0.7050408124923706
206,anil,0.7049979567527771
207,cnuuren,0.7049674987792969
208,iii,0.704838216304779
209,need,0.7048107981681824
210,bwgana,0.7046619653701782
211,elect,0.7046316862106323
212,brugan,0.7045742869377136
213,mioei,0.7045499086380005
214,mrgroee,0.7045339345932007
215,ge,0.7045320272445679
216,poisoning,0.704521656036377
217,unusuuy,0.704517126083374
218,septji,0.7044344544410706
219,tour,0.7044249773025513
220,liailrmj,0.704405665397644
221,kouso,0.704341471195221
222,eielusive,0.7043226957321167
223,iimn1i,0.7042906880378723
224,music,0.7042901515960693
225,acd,0.7042431235313416
226,aod,0.7042294144630432
227,lefgo,0.704196572303772
228,cold,0.7041756510734558
229,buzr,0.7041256427764893
230,uuinnmii,0.704055905342102
231,car,0.7040430307388306
232,con,0.704007625579834
233,ladiesand,0.70400071144104
234,klo,0.7039462924003601
235,mgn,0.7037948369979858
236,srrvantof,0.7037535905838013
237,ha,0.7037203907966614
238,appointment,0.7036793828010559
239,alli,0.7036583423614502
240,black,0.7035952806472778
241,aiifwt,0.7035934329032898
242,mc,0.7035226821899414
243,hmldirgsare,0.7035200595855713
244,l1kbly,0.7035072445869446
245,smiley,0.7034674286842346
246,tha,0.7034546136856079
247,jionsgplsitiisrasbasm,0.7034224271774292
248,bhown,0.7033255100250244
249,icclndlng,0.703315019607544
250,suit,0.7032846808433533
251,cgsitntioaal,0.7032763361930847
252,whsher,0.7032301425933838
253,mett,0.7031850218772888
254,aaa,0.7031735181808472
255,vnir,0.7031699419021606
256,liml,0.7030661106109619
257,lisivy,0.7030206918716431
258,adult,0.7030104398727417
259,icifc,0.7029930353164673
260,purpoie,0.7029074430465698
261,pwclie,0.7027757167816162
262,bs,0.702769935131073
263,ilaniation,0.7027345895767212
264,eicusive,0.7027305960655212
265,uomn,0.7026987671852112
266,exceuenl,0.7026215195655823
267,lotbe,0.7025864720344543
268,atntffn,0.7025575637817383
269,otllcca,0.7024840712547302
270,tcit,0.7024766802787781
271,barber,0.7024557590484619
272,assortmeotof,0.702441394329071
273,cessry,0.70237797498703
274,plukfcirs,0.7023189663887024
275,clothing,0.7023183703422546
276,coo,0.702315628528595
277,far,0.7022382616996765
278,lindstqwhichwjbf8,0.7021676898002625
279,pttsm,0.702066957950592
280,fise,0.7020359635353088
281,rtabaem,0.7019141316413879
282,iloaaa,0.7018606662750244
283,sote,0.7018535733222961
284,y,0.7018299102783203
285,iiouso,0.7018138766288757
286,qialilicalioui,0.7017835974693298
287,wlnnr,0.7017680406570435
288,ant,0.7017661333084106
289,sboes,0.7017661333084106
290,brura,0.701744556427002
291,alab43e,0.7017434239387512
292,jeirsold,0.7016990184783936
293,ltooso,0.7016781568527222
294,iremenee,0.701640248298645
295,juiiie,0.701634407043457
296,bteeeliei,0.7016007304191589
297,48,0.701550304889679
298,auii,0.7015427350997925
299,aqujbxes,0.7014714479446411
300,theu,0.7013223767280579
301,glory,0.7013212442398071
302,hate,0.7012519240379333
303,bf,0.7012325525283813
304,uenueman,0.7012286186218262
305,boss,0.701209545135498
306,susciency,0.7011102437973022
307,oome,0.7010822296142578
308,coed,0.7010700702667236
309,toy,0.7010461688041687
310,hasa,0.701036274433136
311,wear,0.701029360294342
312,isail,0.7010273337364197
313,indeao,0.7009791135787964
314,tili,0.7009661793708801
315,ception,0.7009270191192627
316,aloahie,0.7009181976318359
317,nrd,0.7009139657020569
318,ssdtjm,0.7009091973304749
319,trvcook,0.7008987069129944
320,an,0.7008886337280273
321,mriisf,0.700885534286499
322,iheir,0.7007331848144531
323,lloue,0.7007108926773071
324,flood,0.7006549835205078
325,sfcoesj,0.7006332278251648
326,tbata,0.7006191611289978
327,hava,0.7005944848060608
328,of,0.7005747556686401
329,largn,0.7005647420883179
330,find,0.7005598545074463
331,anu,0.7005071640014648
332,ssveral,0.7004450559616089
333,seamold,0.7004241347312927
334,atve,0.7004210948944092
335,ib,0.7003509998321533
336,conslste,0.7003225088119507
337,roner,0.7003129124641418
338,width,0.7002544403076172
339,kraiis,0.7002050280570984
340,residence,0.7001981735229492
341,ery,0.7001776099205017
342,veryrg,0.7001338601112366
343,ehamberinaid,0.7001100778579712
344,oh,0.7000970840454102
345,rmeclal,0.7000913619995117
346,ttoom,0.7000856995582581
347,hoy,0.7000650763511658
348,fervant,0.7000422477722168
349,grauam,0.7000378370285034
350,grca,0.7000283002853394
351,partaker,0.7000063061714172
352,bemggreatiy,0.6999802589416504
353,bile,0.6999098062515259
354,uoue,0.6999076008796692
355,vi,0.6998838186264038
356,sooe,0.6998777985572815
