,token,cosine
0,servaut,0.8939583897590637
1,ervant,0.8830214142799377
2,arid,0.8636163473129272
3,eervant,0.8601714372634888
4,x,0.8589175343513489
5,aervant,0.8583109974861145
6,anil,0.8580890893936157
7,bervant,0.8521634936332703
8,nnd,0.8464999198913574
9,le,0.8449932336807251
10,tin,0.8439103960990906
11,lo,0.8419353365898132
12,servanta,0.8414360284805298
13,ar,0.8372902870178223
14,ly,0.8370547294616699
15,ami,0.8357048034667969
16,art,0.8339969515800476
17,servaat,0.833747923374176
18,tervant,0.8335511684417725
19,other,0.8325675129890442
20,ba,0.8318212628364563
21,bo,0.8298627734184265
22,cf,0.8291609883308411
23,cr,0.8277824521064758
24,nd,0.8277509212493896
25,hot,0.8274072408676147
26,fi,0.8272154927253723
27,anl,0.826346755027771
28,an,0.8262655735015869
29,I,0.8245373964309692
30,acd,0.823917031288147
31,hare,0.8231028914451599
32,ty,0.8230471611022949
33,ard,0.8228146433830261
34,sa,0.8220252394676208
35,ale,0.8217871189117432
36,wa,0.8214989304542542
37,tl,0.8213781118392944
38,above,0.8211916089057922
39,my,0.8205809593200684
40,fervant,0.820457935333252
41,mid,0.8202961087226868
42,bt,0.8189854621887207
43,ai,0.8188836574554443
44,alio,0.8183373212814331
45,wh,0.817958652973175
46,light,0.8176252245903015
47,aid,0.8172567486763
48,pri,0.8170979619026184
49,mn,0.8169931173324585
50,ti,0.816920280456543
51,te,0.8168045878410339
52,111,0.8163899779319763
53,rervant,0.8161219358444214
54,ut,0.8160624504089355
55,head,0.8159794807434082
56,od,0.8158482313156128
57,ss,0.815570592880249
58,fir,0.8154978156089783
59,di,0.8152505159378052
60,lam,0.8152287602424622
61,atteud,0.8151872754096985
62,mt,0.8150120377540588
63,cobbler,0.8149901032447815
64,servantsroum,0.8147527575492859
65,aod,0.8146814703941345
66,fee,0.8144739866256714
67,fa,0.8144571781158447
68,ud,0.8144131302833557
69,lervant,0.8142558932304382
70,ana,0.8141738176345825
71,ts,0.8140609264373779
72,u,0.8139275908470154
73,mo,0.8137113451957703
74,ing,0.8136574029922485
75,ant,0.8133179545402527
76,vary,0.8131885528564453
77,und,0.8130947351455688
78,if,0.8128831386566162
79,will,0.8128716349601746
80,eat,0.8126711845397949
81,nng,0.8126378655433655
82,roy,0.8126086592674255
83,ire,0.8125956654548645
84,pur,0.8124244809150696
85,servan,0.8123854398727417
86,dangeroaa,0.8118689656257629
87,wil,0.8116156458854675
88,iriiuer,0.8113104701042175
89,ln,0.8110829591751099
90,tear,0.8106957077980042
91,rs,0.8105539679527283
92,uouldin,0.8104701638221741
93,way,0.8102339506149292
94,com,0.8100193738937378
95,oe,0.8098270297050476
96,hi,0.8098248243331909
97,bervanta,0.8096030950546265
98,si,0.8093997240066528
99,bfitame,0.8093886971473694
100,aso,0.8092002272605896
101,tar,0.8091709613800049
102,ma,0.8089468479156494
103,tlie,0.8088046312332153
104,es,0.8087946772575378
105,ae,0.8087677359580994
106,iliuiugrooui,0.8087599873542786
107,kir,0.8087467551231384
108,wl,0.808504581451416
109,jt,0.8079776167869568
110,desirable,0.8077796697616577
111,ft,0.8076478838920593
112,far,0.8075653314590454
113,ul,0.8073569536209106
114,mail,0.807335615158081
115,ji,0.8072301149368286
116,atd,0.8071553707122803
117,ind,0.8071323037147522
118,mirk,0.8068839311599731
119,ef,0.8067997097969055
120,ano,0.8066479563713074
121,mat,0.8066360950469971
122,lor,0.8066246509552002
123,joint,0.806560218334198
124,br,0.8065564036369324
125,ostler,0.8065520524978638
126,mm,0.8065089583396912
127,cha,0.8062772154808044
128,vi,0.8061135411262512
129,iy,0.8061001896858215
130,om,0.8060930371284485
131,spring,0.8059554100036621
132,ib,0.8059208989143372
133,purchase,0.8058751821517944
134,ok,0.8058732151985168
135,number,0.8056375980377197
136,arc,0.8054388761520386
137,ll,0.8052806258201599
138,bar,0.8051661252975464
139,ood,0.8051206469535828
140,antedan,0.8050157427787781
141,lartecomoriablenpartmentcnnnee,0.8049740195274353
142,in,0.80497145652771
143,active,0.8049356937408447
144,jj,0.8048872947692871
145,et,0.8048843741416931
146,tj,0.8048248887062073
147,la,0.8047399520874023
148,tent,0.8042685389518738
149,nr,0.8042313456535339
150,hatchkr,0.804193377494812
151,lion,0.8039553165435791
152,ver,0.803942084312439
153,understand,0.8038105368614197
154,us,0.8037578463554382
155,fr,0.8036860823631287
156,lv,0.8036040663719177
157,manner,0.8034757375717163
158,bond,0.8034468293190002
159,arply,0.8031986355781555
160,to,0.8030224442481995
161,or,0.8029507994651794
162,tu,0.8028180003166199
163,antedio,0.8027185201644897
164,forservant,0.8027181625366211
165,el,0.8025505542755127
166,wet,0.8025391697883606
167,qualification,0.8025292158126831
168,boas,0.8024998903274536
169,iu,0.8023985028266907
170,sod,0.8023528456687927
171,ta,0.8023000955581665
172,nervant,0.8022265434265137
173,washing,0.8021052479743958
174,rr,0.8020125031471252
175,illktthree,0.8020064830780029
176,ir,0.8019194602966309
177,mj,0.8018869757652283
178,bi,0.8018096089363098
179,end,0.8017711043357849
180,hai,0.8016380071640015
181,hirean,0.8016295433044434
182,neat,0.8016050457954407
183,bate,0.801350474357605
184,oo,0.8012535572052002
185,wiih,0.801182746887207
186,cumbrsrice,0.8011672496795654
187,ic,0.8011376261711121
188,vtry,0.8011108040809631
189,hewold,0.801088273525238
190,js,0.8010182976722717
191,se,0.8010135293006897
192,tw,0.8008264303207397
193,pervant,0.8007781505584717
194,ntleiiiii,0.800584614276886
195,da,0.8004552125930786
196,r2,0.8004435300827026
197,waeea,0.8004026412963867
198,aio,0.8003943562507629
199,nit,0.800277054309845
200,hr,0.8002597689628601
201,tne,0.8002432584762573
202,mad,0.800008237361908
203,pi,0.8000041842460632
204,ssrvant,0.7999781370162964
205,suiuhle,0.7999709248542786
206,lour,0.7999256253242493
207,etc,0.7999090552330017
208,tr,0.7999057769775391
209,at,0.7998470664024353
210,inue,0.7998075485229492
211,hiretwo,0.7996819019317627
212,tv,0.799602210521698
213,2n2,0.7995761036872864
214,nod,0.7994107604026794
215,irnmediately,0.7993695139884949
216,jaaeisa,0.7992634177207947
217,bs,0.7991228699684143
218,tii,0.7990596294403076
219,il,0.7990314960479736
220,ad,0.7989127039909363
221,sad,0.798715353012085
222,single,0.7986416816711426
223,giki1,0.7985854744911194
224,bout,0.7985444068908691
225,snd,0.7985396981239319
226,las,0.7982683777809143
227,ior,0.7982479929924011
228,desirous,0.7981454730033875
229,ie,0.7980630397796631
230,hike,0.7980557084083557
231,ook,0.7978953123092651
232,servants,0.7978897094726562
